observation_id	experiment	analysis_id	au	runtime_au	plot_label	ilmn_measured_token	ont_measured_token	caller	tp_base	tp_comp	fn	fp	precision	recall	fscore	gt_concordance	base_count	query_count	source_path
OBS30	E1	prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z	15x5	HG002-bq765db79mczvn	E1:15x5	43.73	11.43	TIDDIT	2925	2925	25220	2000	0.5939086294416244	0.10392609699769054	0.17689749017236167	0.8813675213675214	28145	4925	results/day/hg38/HG002-bq765db79mczvn/align/sentmm2ont/na/snv/sentdhiomr2/slim-consensus/truvari/HG002-bq765db79mczvn/queries/tiddit/truvari/summary.json
OBS29	E1	prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z	15x10	HG002-f277f1cckvy1xb	E1:15x10	43.73	9.67	LongReadSV	17863	17863	10282	3699	0.8284481959001948	0.6346775626221354	0.718731768161426	0.7436040978559033	28145	21562	results/day/hg38/HG002-f277f1cckvy1xb/align/sentmm2ont/na/snv/sentdhiomr2/slim-consensus/truvari/HG002-f277f1cckvy1xb/queries/longreadsv/truvari/summary.json
OBS29	E1	prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z	15x10	HG002-f277f1cckvy1xb	E1:15x10	43.73	9.67	Sniffles2	15685	15685	12460	1364	0.919995307642677	0.5572925919346242	0.6941186883214586	0.7963021995537137	28145	17049	results/day/hg38/HG002-f277f1cckvy1xb/align/sentmm2ont/na/snv/sentdhiomr2/slim-consensus/truvari/HG002-f277f1cckvy1xb/queries/sniffles2/truvari/summary.json
OBS29	E1	prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z	15x10	HG002-f277f1cckvy1xb	E1:15x10	43.73	9.67	TrussSV	18071	18071	10074	5146	0.7783520696041694	0.6420678628530823	0.7036719753903664	0.7850146643793924	28145	23217	results/day/hg38/HG002-f277f1cckvy1xb/align/sentmm2ont/na/snv/sentdhiomr2/slim-consensus/truvari/HG002-f277f1cckvy1xb/queries/tagged_trussv/truvari/summary.json
OBS29	E1	prod-cand-1703-hg002-bjuice-v2-multiau-20260814T114522Z	15x10	HG002-f277f1cckvy1xb	E1:15x10	43.73	9.67	TIDDIT	2923	2923	25222	1992	0.5947100712105798	0.1038550364185468	0.17683000604960677	0.8809442353746151	28145	4915	results/day/hg38/HG002-f277f1cckvy1xb/align/sentmm2ont/na/snv/sentdhiomr2/slim-consensus/truvari/HG002-f277f1cckvy1xb/queries/tiddit/truvari/summary.json
OBS10	E3	prod-cand-1703-hg002-bjuice-4au-kitchensink-20260817T025004Z	10xby10x	HG002-nxw0jbvh1h5mqx	E3:10xby10x	10.81	9.67	LongReadSV	17863	17863	10282	3699	0.8284481959001948	0.6346775626221354	0.718731768161426	0.7436040978559033	28145	21562	results/day/hg38/HG002-nxw0jbvh1h5mqx/align/sentmm2ont/na/snv/sentdhiomr2/slim-consensus/truvari/HG002-nxw0jbvh1h5mqx/queries/longreadsv/truvari/summary.json
OBS10	E3	prod-cand-1703-hg002-bjuice-4au-kitchensink-20260817T025004Z	10xby10x	HG002-nxw0jbvh1h5mqx	E3:10xby10x	10.81	9.67	Sniffles2	15685	15685	12460	1364	0.919995307642677	0.5572925919346242	0.6941186883214586	0.7963021995537137	28145	17049	results/day/hg38/HG002-nxw0jbvh1h5mqx/align/sentmm2ont/na/snv/sentdhiomr2/slim-consensus/truvari/HG002-nxw0jbvh1h5mqx/queries/sniffles2/truvari/summary.json
OBS10	E3	prod-cand-1703-hg002-bjuice-4au-kitchensink-20260817T025004Z	10xby10x	HG002-nxw0jbvh1h5mqx	E3:10xby10x	10.81	9.67	TrussSV	18346	18346	9799	4658	0.7975134759172318	0.6518386924853438	0.7173551780093451	0.7850757658345143	28145	23004	results/day/hg38/HG002-nxw0jbvh1h5mqx/align/sentmm2ont/na/snv/sentdhiomr2/slim-consensus/truvari/HG002-nxw0jbvh1h5mqx/queries/tagged_trussv/truvari/summary.json
OBS10	E3	prod-cand-1703-hg002-bjuice-4au-kitchensink-20260817T025004Z	10xby10x	HG002-nxw0jbvh1h5mqx	E3:10xby10x	10.81	9.67	TIDDIT	1373	1373	26772	334	0.8043350908025776	0.04878308758216379	0.09198713654026532	0.9235251274581209	28145	1707	results/day/hg38/HG002-nxw0jbvh1h5mqx/align/sentmm2ont/na/snv/sentdhiomr2/slim-consensus/truvari/HG002-nxw0jbvh1h5mqx/queries/tiddit/truvari/summary.json
OBS15	E3	prod-cand-1703-hg002-bjuice-4au-kitchensink-20260817T025004Z	12xby12x	HG002-nfjdv62wjc8dwr	E3:12xby12x	13.83	11.43	LongReadSV	18456	18456	9689	3683	0.8336419892497403	0.6557470243382484	0.7340704796754436	0.7540637191157347	28145	22139	results/day/hg38/HG002-nfjdv62wjc8dwr/align/sentmm2ont/na/snv/sentdhiomr2/slim-consensus/truvari/HG002-nfjdv62wjc8dwr/queries/longreadsv/truvari/summary.json
OBS15	E3	prod-cand-1703-hg002-bjuice-4au-kitchensink-20260817T025004Z	12xby12x	HG002-nfjdv62wjc8dwr	E3:12xby12x	13.83	11.43	Sniffles2	16686	16686	11459	1452	0.9199470724445915	0.5928584117960561	0.7210422833437763	0.8102001678053458	28145	18138	results/day/hg38/HG002-nfjdv62wjc8dwr/align/sentmm2ont/na/snv/sentdhiomr2/slim-consensus/truvari/HG002-nfjdv62wjc8dwr/queries/sniffles2/truvari/summary.json
OBS15	E3	prod-cand-1703-hg002-bjuice-4au-kitchensink-20260817T025004Z	12xby12x	HG002-nfjdv62wjc8dwr	E3:12xby12x	13.83	11.43	TrussSV	18950	18950	9195	4774	0.798769178890575	0.6732989873867472	0.7306869228248086	0.8000527704485488	28145	23724	results/day/hg38/HG002-nfjdv62wjc8dwr/align/sentmm2ont/na/snv/sentdhiomr2/slim-consensus/truvari/HG002-nfjdv62wjc8dwr/queries/tagged_trussv/truvari/summary.json
OBS15	E3	prod-cand-1703-hg002-bjuice-4au-kitchensink-20260817T025004Z	12xby12x	HG002-nfjdv62wjc8dwr	E3:12xby12x	13.83	11.43	TIDDIT	1689	1689	26456	507	0.7691256830601093	0.06001065908687156	0.11133449787416368	0.9230313795145056	28145	2196	results/day/hg38/HG002-nfjdv62wjc8dwr/align/sentmm2ont/na/snv/sentdhiomr2/slim-consensus/truvari/HG002-nfjdv62wjc8dwr/queries/tiddit/truvari/summary.json
OBS20	E3	prod-cand-1703-hg002-bjuice-4au-kitchensink-20260817T025004Z	20xby15x	HG002-wesenyqd5xz29g	E3:20xby15x	21.33	14.71	LongReadSV	18998	18998	9147	3864	0.8309859154929577	0.6750044412861965	0.7449173642833337	0.7660280029476787	28145	22862	results/day/hg38/HG002-wesenyqd5xz29g/align/sentmm2ont/na/snv/sentdhiomr2/slim-consensus/truvari/HG002-wesenyqd5xz29g/queries/longreadsv/truvari/summary.json
OBS20	E3	prod-cand-1703-hg002-bjuice-4au-kitchensink-20260817T025004Z	20xby15x	HG002-wesenyqd5xz29g	E3:20xby15x	21.33	14.71	Sniffles2	17642	17642	10503	1551	0.9191892877611629	0.6268253686267543	0.7453631332122184	0.8230926198843669	28145	19193	results/day/hg38/HG002-wesenyqd5xz29g/align/sentmm2ont/na/snv/sentdhiomr2/slim-consensus/truvari/HG002-wesenyqd5xz29g/queries/sniffles2/truvari/summary.json
OBS20	E3	prod-cand-1703-hg002-bjuice-4au-kitchensink-20260817T025004Z	20xby15x	HG002-wesenyqd5xz29g	E3:20xby15x	21.33	14.71	TrussSV	19460	19460	8685	5116	0.7918294270833334	0.6914194350683958	0.7382257544432008	0.8133093525179856	28145	24576	results/day/hg38/HG002-wesenyqd5xz29g/align/sentmm2ont/na/snv/sentdhiomr2/slim-consensus/truvari/HG002-wesenyqd5xz29g/queries/tagged_trussv/truvari/summary.json
OBS20	E3	prod-cand-1703-hg002-bjuice-4au-kitchensink-20260817T025004Z	20xby15x	HG002-wesenyqd5xz29g	E3:20xby15x	21.33	14.71	TIDDIT	2202	2202	25943	1052	0.6767055931161647	0.07823769763723575	0.14025924392496578	0.9128065395095368	28145	3254	results/day/hg38/HG002-wesenyqd5xz29g/align/sentmm2ont/na/snv/sentdhiomr2/slim-consensus/truvari/HG002-wesenyqd5xz29g/queries/tiddit/truvari/summary.json
OBS22	E3	prod-cand-1703-hg002-bjuice-4au-kitchensink-20260817T025004Z	30xby15x	HG002-q73e7s390m0hjt	E3:30xby15x	31.12	14.71	LongReadSV	18998	18998	9147	3864	0.8309859154929577	0.6750044412861965	0.7449173642833337	0.7660280029476787	28145	22862	results/day/hg38/HG002-q73e7s390m0hjt/align/sentmm2ont/na/snv/sentdhiomr2/slim-consensus/truvari/HG002-q73e7s390m0hjt/queries/longreadsv/truvari/summary.json
OBS22	E3	prod-cand-1703-hg002-bjuice-4au-kitchensink-20260817T025004Z	30xby15x	HG002-q73e7s390m0hjt	E3:30xby15x	31.12	14.71	Sniffles2	17642	17642	10503	1551	0.9191892877611629	0.6268253686267543	0.7453631332122184	0.8230926198843669	28145	19193	results/day/hg38/HG002-q73e7s390m0hjt/align/sentmm2ont/na/snv/sentdhiomr2/slim-consensus/truvari/HG002-q73e7s390m0hjt/queries/sniffles2/truvari/summary.json
OBS22	E3	prod-cand-1703-hg002-bjuice-4au-kitchensink-20260817T025004Z	30xby15x	HG002-q73e7s390m0hjt	E3:30xby15x	31.12	14.71	TrussSV	19363	19363	8782	5334	0.784022350892821	0.6879729969799254	0.7328640096892624	0.8132520787068119	28145	24697	results/day/hg38/HG002-q73e7s390m0hjt/align/sentmm2ont/na/snv/sentdhiomr2/slim-consensus/truvari/HG002-q73e7s390m0hjt/queries/tagged_trussv/truvari/summary.json
OBS22	E3	prod-cand-1703-hg002-bjuice-4au-kitchensink-20260817T025004Z	30xby15x	HG002-q73e7s390m0hjt	E3:30xby15x	31.12	14.71	TIDDIT	2637	2637	25508	1626	0.6185784658691063	0.09369337360099485	0.16273759565539372	0.8991277967387182	28145	4263	results/day/hg38/HG002-q73e7s390m0hjt/align/sentmm2ont/na/snv/sentdhiomr2/slim-consensus/truvari/HG002-q73e7s390m0hjt/queries/tiddit/truvari/summary.json
OBS31	P1	pcand18022-bjuice-preval6-15014-dry-20260817t112900z	fullcov_0to24	HG002-qvmjccyp5fr1y3	P1:fullcov	43.73	11.43	LongReadSV	18456	18456	9689	3683	0.8336419892497403	0.6557470243382484	0.7340704796754436	0.7540637191157347	28145	22139	results/day/hg38/HG002-qvmjccyp5fr1y3/align/sentmm2ont/na/snv/sentdhiomr2/slim-consensus/truvari/HG002-qvmjccyp5fr1y3/queries/longreadsv/truvari/summary.json
OBS31	P1	pcand18022-bjuice-preval6-15014-dry-20260817t112900z	fullcov_0to24	HG002-qvmjccyp5fr1y3	P1:fullcov	43.73	11.43	Sniffles2	16686	16686	11459	1452	0.9199470724445915	0.5928584117960561	0.7210422833437763	0.8102001678053458	28145	18138	results/day/hg38/HG002-qvmjccyp5fr1y3/align/sentmm2ont/na/snv/sentdhiomr2/slim-consensus/truvari/HG002-qvmjccyp5fr1y3/queries/sniffles2/truvari/summary.json
OBS31	P1	pcand18022-bjuice-preval6-15014-dry-20260817t112900z	fullcov_0to24	HG002-qvmjccyp5fr1y3	P1:fullcov	43.73	11.43	TrussSV	18692	18692	9453	5209	0.7820593280615874	0.6641321726772074	0.7182876686008531	0.8008238818745987	28145	23901	results/day/hg38/HG002-qvmjccyp5fr1y3/align/sentmm2ont/na/snv/sentdhiomr2/slim-consensus/truvari/HG002-qvmjccyp5fr1y3/queries/tagged_trussv/truvari/summary.json
OBS31	P1	pcand18022-bjuice-preval6-15014-dry-20260817t112900z	fullcov_0to24	HG002-qvmjccyp5fr1y3	P1:fullcov	43.73	11.43	TIDDIT	2928	2928	25217	1996	0.59463850528026	0.10403268786640611	0.17708427832713416	0.8811475409836066	28145	4924	results/day/hg38/HG002-qvmjccyp5fr1y3/align/sentmm2ont/na/snv/sentdhiomr2/slim-consensus/truvari/HG002-qvmjccyp5fr1y3/queries/tiddit/truvari/summary.json
OBS01	E4	prerel18025-bjuice-v2-hg002-20au-18042-20260818t1255z-live	N01	HG002-ehyq1gkgctd5sk	E4:N01	0.56	0.57	LongReadSV	1126	1126	27019	260	0.8124098124098124	0.040007106057914375	0.07625884663573872	0.44582593250444047	28145	1386	results/day/hg38/HG002-ehyq1gkgctd5sk/align/sentmm2ont/na/snv/sentdhiomr2/slim-consensus/truvari/HG002-ehyq1gkgctd5sk/queries/longreadsv/truvari/summary.json
OBS01	E4	prerel18025-bjuice-v2-hg002-20au-18042-20260818t1255z-live	N01	HG002-ehyq1gkgctd5sk	E4:N01	0.56	0.57	Sniffles2	184	184	27961	8	0.9583333333333334	0.006537573281222242	0.012986554681158908	0.5108695652173914	28145	192	results/day/hg38/HG002-ehyq1gkgctd5sk/align/sentmm2ont/na/snv/sentdhiomr2/slim-consensus/truvari/HG002-ehyq1gkgctd5sk/queries/sniffles2/truvari/summary.json
OBS01	E4	prerel18025-bjuice-v2-hg002-20au-18042-20260818t1255z-live	N01	HG002-ehyq1gkgctd5sk	E4:N01	0.56	0.57	TrussSV	1132	1132	27013	268	0.8085714285714286	0.04022028779534553	0.07662887121340328	0.44257950530035334	28145	1400	results/day/hg38/HG002-ehyq1gkgctd5sk/align/sentmm2ont/na/snv/sentdhiomr2/slim-consensus/truvari/HG002-ehyq1gkgctd5sk/queries/tagged_trussv/truvari/summary.json
OBS01	E4	prerel18025-bjuice-v2-hg002-20au-18042-20260818t1255z-live	N01	HG002-ehyq1gkgctd5sk	E4:N01	0.56	0.57	TIDDIT	0	0	28145	0	NA	NA	NA	0	28145	0	results/day/hg38/HG002-ehyq1gkgctd5sk/align/sentmm2ont/na/snv/sentdhiomr2/slim-consensus/truvari/HG002-ehyq1gkgctd5sk/queries/tiddit/truvari/summary.json
OBS02	E4	prerel18025-bjuice-v2-hg002-20au-18042-20260818t1255z-live	N02	HG002-chjze1q0erq9s3	E4:N02	0.56	4.63	LongReadSV	13540	13540	14605	2969	0.8201587013144346	0.48108012080298457	0.6064406324181485	0.6719350073855244	28145	16509	results/day/hg38/HG002-chjze1q0erq9s3/align/sentmm2ont/na/snv/sentdhiomr2/slim-consensus/truvari/HG002-chjze1q0erq9s3/queries/longreadsv/truvari/summary.json
OBS02	E4	prerel18025-bjuice-v2-hg002-20au-18042-20260818t1255z-live	N02	HG002-chjze1q0erq9s3	E4:N02	0.56	4.63	Sniffles2	8697	8697	19448	593	0.936167922497309	0.3090069284064665	0.4646453853345799	0.7076003219500977	28145	9290	results/day/hg38/HG002-chjze1q0erq9s3/align/sentmm2ont/na/snv/sentdhiomr2/slim-consensus/truvari/HG002-chjze1q0erq9s3/queries/sniffles2/truvari/summary.json
OBS02	E4	prerel18025-bjuice-v2-hg002-20au-18042-20260818t1255z-live	N02	HG002-chjze1q0erq9s3	E4:N02	0.56	4.63	TrussSV	13918	13918	14227	3437	0.801959089599539	0.49451057026114764	0.6117802197802198	0.6860899554533697	28145	17355	results/day/hg38/HG002-chjze1q0erq9s3/align/sentmm2ont/na/snv/sentdhiomr2/slim-consensus/truvari/HG002-chjze1q0erq9s3/queries/tagged_trussv/truvari/summary.json
OBS02	E4	prerel18025-bjuice-v2-hg002-20au-18042-20260818t1255z-live	N02	HG002-chjze1q0erq9s3	E4:N02	0.56	4.63	TIDDIT	0	0	28145	0	NA	NA	NA	0	28145	0	results/day/hg38/HG002-chjze1q0erq9s3/align/sentmm2ont/na/snv/sentdhiomr2/slim-consensus/truvari/HG002-chjze1q0erq9s3/queries/tiddit/truvari/summary.json
OBS03	E4	prerel18025-bjuice-v2-hg002-20au-18042-20260818t1255z-live	N03	HG002-3am5mqch4e741r	E4:N03	0.56	11.43	LongReadSV	18456	18456	9689	3683	0.8336419892497403	0.6557470243382484	0.7340704796754436	0.7540637191157347	28145	22139	results/day/hg38/HG002-3am5mqch4e741r/align/sentmm2ont/na/snv/sentdhiomr2/slim-consensus/truvari/HG002-3am5mqch4e741r/queries/longreadsv/truvari/summary.json
OBS03	E4	prerel18025-bjuice-v2-hg002-20au-18042-20260818t1255z-live	N03	HG002-3am5mqch4e741r	E4:N03	0.56	11.43	Sniffles2	16686	16686	11459	1452	0.9199470724445915	0.5928584117960561	0.7210422833437763	0.8102001678053458	28145	18138	results/day/hg38/HG002-3am5mqch4e741r/align/sentmm2ont/na/snv/sentdhiomr2/slim-consensus/truvari/HG002-3am5mqch4e741r/queries/sniffles2/truvari/summary.json
OBS03	E4	prerel18025-bjuice-v2-hg002-20au-18042-20260818t1255z-live	N03	HG002-3am5mqch4e741r	E4:N03	0.56	11.43	TrussSV	19291	19291	8854	4650	0.8057725241217994	0.6854148161307515	0.7407364742925161	0.8006842569073661	28145	23941	results/day/hg38/HG002-3am5mqch4e741r/align/sentmm2ont/na/snv/sentdhiomr2/slim-consensus/truvari/HG002-3am5mqch4e741r/queries/tagged_trussv/truvari/summary.json
